"What is your gender?","What is your age range? If under 18 years old please stop here and do not complete this survey. (Select one)","I am a (Select as many as apply)","If a current UMD student, which best describes you? (Select one)","Which best describes how often you read The Diamondback?","When I do read the Diamondback I most often choose content in these areas (Select all that apply)","On a scale of 1 to 5, how relevant is The Diamondback to issues that are most important to you?","Which of the following would you like to see more of from The Diamondback? (Select all that apply)","What type of device do you most often use to access The Diamondback? (Select all that apply)","When reading news on your phone do you prefer to use","On a scale of 1 to 5, if you knew that The Diamondback had a mobile app how likely would you be to download it?","Do you follow The Diamondback on any of the following? (Select all that apply)","Which sources of news do you use to stay updated on campus information that is relevant to you? (Select all that apply)","What could The Diamondback do to improve? ","What do you think The Diamondback does well as a news source?","If you have any other comments, suggestions or questions, please enter them below. Thank you."
Male,31-40,"UMD alumni",,"Several times a week","Campus News
College Park News
Sports",2,"Breaking News
Comments, now not permitted.","Phone
Computer / Laptop","Mobile website",1,"None of the above","None of these","The Diamondback has deteriorated to a social gossip site, not the news outlet and awarding example of journalism it was when I was a student. Since the demise of the print edition, which via real ads, it has lost real revenue to pay for its existence. Returning to a online print version similar to what was available, and many college papers still provide, or a format like WaPo's online print version via app, would be a huge improvement. In addition, allow moderated comments for stories again relating to real issues in the community and outside world. These are just the beginning for things that could  be improved. ","In todays news world not much. Timing is of the essence, and it misses the mark miserably. ",
Female,25-30,"UMD alumni",,"At least once a week","Campus News
Diversions/Entertainment",2,"Student Profiles","Phone
Computer / Laptop","Mobile website",3,"Daily emailed newsletter
Facebook","None of these","Occasionally print op-eds that aren’t super left-leaning

Regarding your third question, “alumni” is plural. Alumnus/alumna is singular.
","Campus news","Actively seek out opinion writers who aren’t super woke"
Male,51-60,"UMD alumni",,"Several times a week",Sports,4,"Breaking News
Student Profiles","Computer / Laptop","Mobile website",4,"I do not use social media","None of these",,,
Male,61-70,"UMD alumni",,"Very rarely",Sports,2,Sports,Phone,"I get my news from social media",3,Facebook,"The Diamondback
University emails",,,
"Prefer not to answer",51-60,"UMD alumni",Other,"At least once a month",Other,5,Entertainment,Phone,"Mobile website",5,,,,,
Male,71+,"UMD alumni",,"At least once a day","Campus News
Diversions/Entertainment
Sports
Opinions",4,"Breaking News
Opinions
Sports
Diversity, Equity and Inclusion","Phone
Tablet","Mobile website",4,"Daily emailed newsletter","The Diamondback
University emails","Would love to read about what individual colleges are doing ie: research, ground breaking studies / scientific research , arts, special events, participating in national and international projects. ",,
Female,51-60,"UMD alumni",,"At least once a week","Campus News
Sports
Opinions",3,,"Phone
Computer / Laptop","Mobile website",5,"Daily emailed newsletter
Facebook","The Diamondback","As an alumnae who lives out of state, I'm not your primary audience (and probably shouldn't be), but I do like stories that tell me what's happening on campus, what issues students are riled up about -- and I really like to see photos of campus (because I live on the other side of the country and don't get to visit that often.) 

Online photo galleries might give people who live out of state or no longer live nearby, a glimpse of the campus.  For instance, I'm so old that I lived in Cumberland Hall when we had to walk past the goat barns to get to class. There are parts of the campus that I don't recognize anymore.","Issues on campus and surrounding communities, sports reporting. 
",
Female,41-50,"UMD alumni",,"Several times a week","Campus News
College Park News
Diversions/Entertainment
Crime",4,"Student Profiles
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",5,"Facebook
Twitter","The Diamondback
Mitzpeh
Stories Beneath the Shell
University emails
Twitter",,,
Male,41-50,"UMD alumni",,"At least once a month","Campus News
Sports
Crime
Opinions",3,"Breaking News
Opinions
Sports",Phone,App,5,"Daily emailed newsletter
Facebook
Twitter","The Diamondback
University emails
University Social Media
Word of Mouth","Diamondback app no longer works. More breaking news. ","Helps me understand at a basic level what’s happening on campus. ",
Female,31-40,"UMD alumni",,"At least once a month","Campus News
College Park News
Sports",2,"Breaking News
Sports","Phone
Computer / Laptop","Mobile website",1,"Daily emailed newsletter
Twitter","The Diamondback",,,
Female,61-70,"Parent of a former student",,"At least once a day",Sports,4,Sports,Tablet,"I get my news from social media",2,"Daily emailed newsletter
Facebook",,,,
Female,51-60,"Parent of a former student",Junior,"At least once a week","Campus News
College Park News",5,"Diversity, Equity and Inclusion","Computer / Laptop",News,5,"I do not use social media","None of these",,,
Female,51-60,"Parent of a former student",,"Very rarely",Sports,1,,Tablet,"Mobile website",1,"None of the above","None of these",,,
Female,71+,"Parent of a former student",,"At least once a month",Sports,4,"Breaking News
Sports","Phone
Computer / Laptop",,5,"I do not use social media","Maryland Today
University emails",,,
Female,71+,"Parent of a former student",,"At least once a month",Sports,4,"Breaking News
Sports","Phone
Computer / Laptop",,5,"I do not use social media","Maryland Today
University emails",,,
Male,61-70,"Parent of a former student",,"At least once a month",,3,Sports,Phone,"Mobile website",3,Facebook,"The Diamondback",,,
Female,51-60,"Parent of a former student",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",4,"Lifestyle Content
Student Profiles
Entertainment
Opinions",Phone,"Mobile website",1,"Daily emailed newsletter
Facebook","The Diamondback
Maryland Today
University emails
Family Connections ",,,
Female,51-60,"Parent of a former student",,"At least once a month","Campus News
Opinions",3,"Breaking News
Lifestyle Content
Student Profiles","Computer / Laptop","Mobile website",3,"Daily emailed newsletter","The Diamondback
University emails",,,
Male,51-60,"Parent of a former student",,"At least once a day","College Park News
Sports",4,Sports,"Computer / Laptop",,1,"None of the above","The Diamondback",,,
Male,71+,"Parent of a former student",,"Very rarely",Sports,5,,Phone,"Mobile website",4,"I do not use social media",,,,
Male,71+,"Parent of a former student",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Opinions",4,"Breaking News
Lifestyle Content
Student Profiles
Sports
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",5,"Daily emailed newsletter","The Diamondback","I am happy   with the current Diamondback  Newspaper the way it is","News sent daily  with many topics.","Keep up the good work."
Female,61-70,"Parent of a former student",,"At least once a week","Campus News
Sports",,"Breaking News
Sports",Phone,"Mobile website",,Instagram,"University emails",,,
Male,51-60,"Parent of a former student",,"Very rarely",Other,2,"Breaking News",Phone,"Mobile website",1,"None of the above",,,,
Female,51-60,"Parent of a former student",,"Very rarely","College Park News",1,Ok,,"Mobile website",1,Facebook,"None of these",,,
Male,71+,"Parent of a former student",,,,,,,,1,,,,,
Male,41-50,"Parent of a former student",Other,"At least once a month",Sports,2,Entertainment,Tablet,App,3,"None of the above","The Writers Bloc",,,
Male,71+,"Parent of a former student",Other,"Very rarely",Sports,1,,Phone,"Mobile website",3,"None of the above","None of these",,,
Male,71+,"Parent of a former student",,"At least once a day","Campus News
College Park News
Opinions",4,"Breaking News
Diversity, Equity and Inclusion",Phone,"I get my news from social media",4,"Daily emailed newsletter","The Diamondback",,,
Male,71+,"Parent of a current student
Parent of a former student",,"Very rarely",Sports,5,Sports,Phone,,1,"None of the above","WMUC Radio","Not a thing I like it the way it is now","I only follow sports ",
Female,51-60,"Parent of a current student",,"At least once a week","Campus News
College Park News",3,"Breaking News",Phone,"Mobile website",4,"Facebook
Instagram
Twitter","The Diamondback
Stories Beneath the Shell
University emails
University Social Media",,,
Female,41-50,"Parent of a current student",,"Very rarely","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions
Other",3,"Breaking News
Lifestyle Content
Diversity, Equity and Inclusion",Phone,"Mobile website",3,"None of the above",,,,
Female,51-60,"Parent of a current student",,"Several times a week","Campus News
Sports
Other",5,"Breaking News
Student Profiles","Computer / Laptop",App,4,"Daily emailed newsletter
Facebook","The Diamondback
Maryland Today
University emails
University Social Media",?,"Campus focus and features","Prefer news to opinion pieces"
Male,51-60,"Parent of a current student",,"At least once a week","Campus News
Sports",4,"Breaking News",Phone,"Mobile website",1,"None of the above","The Diamondback",,,
Male,51-60,"Parent of a current student",,"Several times a week","Campus News
Sports",4,"Lifestyle Content
Student Profiles",Tablet,"I get my news from social media",1,,"The Diamondback
Maryland Today
University emails",,,
Male,51-60,"Parent of a current student",Junior,"At least once a day","Campus News",5,"Lifestyle Content
Sports",Phone,"Mobile website",5,"Instagram
TikTok","The Diamondback",,,
Male,51-60,"Parent of a current student",Junior,"At least once a month","Campus News
Opinions
Other",4,"Student Profiles
Diversity, Equity and Inclusion
Technology trends, world news/opinions ","Computer / Laptop","I prefer to read on a computer due to eyesight issues ",1,"None of the above","None of these","Diversity of opinion","Good coverage on campus news and sports ","You guys are doing a great job. Keep it up 👍👍👍"
Female,41-50,"Parent of a current student",,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",5,"Breaking News
Sports",Phone,"Mobile website",5,,"The Diamondback
University emails
University Social Media",,,
Female,51-60,"Parent of a current student",,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Opinions",4,"Breaking News
Lifestyle Content
Opinions
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",4,"Daily emailed newsletter
Twitter","The Diamondback
Word of Mouth","Perhaps more investigative or in-depth features on big issues","Broad coverage; quality reporting/editing","Keep up the great work!"
Male,51-60,"Parent of a current student",,"Very rarely","Campus News
College Park News
Crime
Opinions",5,"Entertainment
Opinions",Phone,"Mobile website",4,Twitter,"The Diamondback",,,
Female,51-60,"Parent of a current student",,"At least once a month","Campus News",2,"Breaking News",Phone,"Mobile website",1,Twitter,Twitter,,,
Male,51-60,"Parent of a current student",Junior,"At least once a week","Campus News
College Park News
Sports
Crime",4,"Breaking News
Student Profiles
Sports","Phone
Tablet","Mobile website",4,Twitter,"The Diamondback
Maryland Today
Twitter",,,
Female,51-60,"Parent of a current student",,"At least once a week",Sports,3,Sports,Phone,"Mobile website",3,"None of the above","The Diamondback
University emails",,,
Female,41-50,"Parent of a current student",Sophomore,"Very rarely",Other,4,"Breaking News",Phone,App,5,"None of the above","University emails",,,
Male,51-60,"Parent of a current student",,"Very rarely",,,,Phone,"Mobile website",4,"None of the above",,,,
Female,51-60,"Parent of a current student",,,"Campus News
College Park News",5,Opinions,"Phone
Computer / Laptop","Mobile website",4,"None of the above","The Diamondback
Stories Beneath the Shell",,,
Female,41-50,"Parent of a current student",Sophomore,"Very rarely",Sports,4,Sports,"Computer / Laptop","Mobile website",3,"None of the above","The Diamondback
University emails
Twitter",,,
Female,51-60,"Parent of a current student","Graduate Student","At least once a month","Campus News
College Park News
Opinions",4,"Diversity, Equity and Inclusion","Phone
Tablet",App,5,Facebook,"The Diamondback
Maryland Today
University emails",,,
"Prefer not to answer",0-17,Other,Other,"Very rarely",Other,5,"Diversity, Equity and Inclusion",,,,,,,,
Female,25-30,Other,,"Several times a week","Campus News",4,"Student Profiles","Computer / Laptop","I get my news from social media",1,"Daily emailed newsletter","The Diamondback",,"I love the articles that criticize the university as an institution. The student have so much untapped power over the university system because they pay so much to go here. Those articles are the ones I click on first","Maybe to e-mail surveys on a semester or quarterly bases. Help get a feel for what the readers want to see more or less of."
Male,61-70,Other,Senior,"Several times a day",Other,4,"Student Profiles","Phone
Computer / Laptop","Mobile website",4,"Instagram
Snapchat
Twitter",,,,
Male,61-70,Other,,"At least once a week",Sports,4,Sports,Phone,,2,"None of the above","Word of Mouth
None of these",,,
Male,71+,Other,,"Very rarely",Sports,5,Sports,Phone,"Mobile website",3,"I do not use social media","The Diamondback",,,
Female,41-50,Other,,"Very rarely",Other,3,"Breaking News",Phone,"Mobile website",1,"None of the above",,,,
Male,71+,Other,,"Several times a week",Sports,3,Sports,"Computer / Laptop",,1,"I do not use social media","The Diamondback",,,
"Prefer not to answer",0-17,Other,"Graduate Student","Very rarely",Other,2,"Lifestyle Content","Computer / Laptop","my cumputer",,,,,,
Male,51-60,Other,,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Opinions",4,,"Phone
Computer / Laptop
Tablet","Mobile website",1,"None of the above","The Diamondback
Maryland Today
University Social Media",,,
Female,41-50,Other,Other,"At least once a day",Other,5,"Student Profiles",Phone,"I get my news from social media",5,"None of the above","The Diamondback
Maryland Today",,,
Female,71+,Other,,"At least once a day","Campus News
College Park News
Sports",3,,Phone,,,"Daily emailed newsletter
Facebook","The Diamondback",,,
Female,71+,Other,,"At least once a day","Campus News
College Park News
Sports",3,,Phone,,,"Daily emailed newsletter
Facebook","The Diamondback",,,
Male,51-60,Other,,"Very rarely",,,,Phone,"Mobile website",,,,,,
Female,22-24,Other,Other,"At least once a month","Campus News",4,"Breaking News","Computer / Laptop","Mobile website",4,Twitter,"The Diamondback",,,
Female,31-40,Other,,"Several times year","Diversions/Entertainment
Sports
Crime
Opinions
Other",3,"Breaking News
Lifestyle Content
Entertainment
Opinions
Sports
Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,,"Daily emailed newsletter","None of these",,,
Male,71+,Other,,"Several times year",Sports,4,Sports,Tablet,"Mobile website",3,"I do not use social media","The Diamondback
University emails
Maryland sports web pages","Really like reading about woman basketball - games and recruiting
Same for men
Also football
And baseball now that they are doing better","Always happy to read about sports teams",
Male,71+,Other,,"At least once a week","Campus News
College Park News
Crime
Opinions",3,"Breaking News
Opinions
Investigative journalism into campus admin, staff, faculty, & student organizations.","Computer / Laptop","I get my news from social media",2,Facebook,"The Diamondback",,,
Female,61-70,Other,,"At least once a month","Campus News
College Park News
Sports",4,,"Phone
Computer / Laptop",App,4,"None of the above","The Diamondback
University emails
University Social Media",,,
Male,51-60,Other,,"Several times year","Campus News
Sports",2,"Lifestyle Content
Entertainment
Sports",Phone,"Mobile website",2,"I do not use social media","The Diamondback",,,
Male,61-70,Other,Other,,Other,1,,,,,,,,,
Male,61-70,Other,,"At least once a month","Campus News
College Park News
Other",4,,"Phone
Computer / Laptop
Tablet","Mobile website",3,Twitter,"The Diamondback
Maryland Today
University emails
University Social Media
Twitter","(This is a totally insignificant nitpick! -- so don't take it too seriously -- but you seem to have style guidance to use the phrase ""this university"" (a lot).  Again, no big deal, but it starts to sound somewhat 'unnatural' or artificial when used so much!  ;)","Campus news and events; opinions; empathetic coverage of events of concern (e.g., MSU vigil, Lt. Collins ","(Just to clarify my affiliation (""I am a...""):  I work for a government agency on the research campus (Discovery District) and am a ""Research Affiliate"" of the University, so I don't think I technically qualify as (""UMD faculty/staff""), but I like to consider myself part of the greater campus community, and like to keep up with your reporting in The Diamondback.  Thanks for you efforts, and keep up your valuable work!)"
Non-binary,22-24,Other,Other,"At least once a month","Campus News
College Park News
Sports
Opinions",3,"Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,4,Instagram,"The Diamondback",,,
Male,31-40,Other,Other,"Very rarely",Other,3,"Lifestyle Content
Entertainment",Phone,App,4,"I do not use social media",Twitter,,,
Male,71+,Other,,"At least once a day",Other,3,"Lifestyle Content
Opinions",Phone,"Mobile website",5,"Daily emailed newsletter","Word of Mouth",,,
Female,25-30,Other,,"At least once a day",Sports,5,Sports,Phone,"Mobile website",5,Y,"Word of Mouth
None of these",,,
Female,31-40,Other,Other,,Other,1,"Lifestyle Content",,,,,,,,
Female,61-70,Other,,"Several times year",Sports,3,Sports,Phone,"I get my news from social media",2,Facebook,Nithing,,,
Male,71+,Other,Other,"Very rarely",Opinions,5,"Diversity, Equity and Inclusion",Tablet,"I get my news from social media",3,Snapchat,"Word of Mouth",,,
Male,41-50,Other,,"Several times year",Other,5,"Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",5,"I do not use social media","The Diamondback","Allow students to write opinion pieces with healthy criticism","Helps shape, student perspectives in a healthy way","Keep up the good work"
Male,71+,Other,,"Very rarely",Sports,5,Sports,"Computer / Laptop","Mobile website",3,"I do not use social media","The Diamondback
University emails
Google search, testuto times",,Yes,
Male,61-70,Other,,"Several times a week","Campus News
College Park News
Sports
Opinions",4,"Lifestyle Content
Student Profiles
Opinions
Sports
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",4,"Daily emailed newsletter
Facebook
Instagram","The Diamondback
Her Campus
Stories Beneath the Shell",,,
Non-binary,71+,Other,Other,"At least once a day",Crime,5,"Breaking News
Lifestyle Content
Entertainment
Opinions
Sports",Phone,"Mobile website",5,Facebook,,,,
Male,18-19,Other,Other,"At least once a week","Campus News
College Park News
Crime
Opinions",3,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",4,Instagram,"The Diamondback
WMUC Radio
University Social Media",,,
Female,61-70,Other,,"At least once a week","Campus News
Crime
Other",3,"Breaking News
what is impacting the UMD community",,,,,,,,
Male,61-70,Other,,"At least once a month","Campus News
Sports",5,Sports,Tablet,"Mobile website",3,"Instagram
Twitter","Some occasional Print Media","I think it does well for what I read","Campus events ",
Male,71+,Other,Other,"Very rarely",Sports,3,Sports,Phone,"I get my news from social media",5,"I do not use social media","None of these",,,
"Prefer not to answer",41-50,Other,Other,"Very rarely",Other,,"Lifestyle Content",Phone,"Mobile website",1,"Daily emailed newsletter
None of the above",,,,
"Prefer not to answer",41-50,Other,Other,"Very rarely",Other,3,Opinions,Phone,"Mobile website",3,"I do not use social media","None of these",,,
Male,31-40,Other,Other,"Very rarely",Other,3,"Lifestyle Content",Phone,App,5,"Daily emailed newsletter
Facebook","The Diamondback",,,
Male,61-70,Other,,"Several times year","Campus News
Diversions/Entertainment
Sports
Crime
Opinions",3,"Entertainment
Sports","Phone
Tablet","I get my news from social media",1,Twitter,"The Diamondback
Twitter",,,
Female,71+,Other,,"Very rarely","College Park News",3,"Lifestyle Content
Entertainment
Opinions
Sports","Computer / Laptop","I get my news from social media",3,"None of the above","Maryland Today
Word of Mouth",,,
Female,41-50,Other,Freshman,"Several times a day","College Park News
Other",5,,Phone,"Mobile website",5,,"Her Campus",,,
Female,61-70,Other,Other,"Several times a week","College Park News",5,Sports,Phone,App,3,Twitter,"University Social Media",,,
Male,31-40,Other,,"Very rarely",Sports,3,Sports,Phone,"Mobile website",4,"None of the above",Twitter,,,
Female,71+,Other,,"At least once a month",Sports,4,Sports,Phone,"Mobile website",4,,,,,
Male,51-60,Other,,"At least once a week",Sports,4,Sports,"Computer / Laptop","Mobile website",4,"None of the above","University Social Media",,,
,41-50,Other,,,,,,,,,,,,,
"Prefer not to answer",61-70,Other,Other,"Very rarely",Opinions,3,"Entertainment
Sports",Tablet,"I get my news from social media",,"None of the above","None of these",,,
Female,41-50,Other,,"At least once a month","Campus News",4,"Breaking News
Student Profiles",,"Mobile website",3,"Facebook
Instagram","The Diamondback","Nothing ",N/a,N/a
Female,71+,"College Park citizen or official/non-student
Other",,"At least once a month","College Park News
Crime
Opinions",4,"Lifestyle Content
Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",4,Facebook,"The Diamondback
The Writers Bloc
Twitter",,,
Female,71+,"College Park citizen or official/non-student",,"At least once a day","College Park News
Crime
Opinions",4,"Breaking News
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",3,"I do not use social media","Maryland Today",,,
Female,31-40,"College Park citizen or official/non-student",Other,"Very rarely",Other,5,"Diversity, Equity and Inclusion",Tablet,,5,,,,,
Male,41-50,"College Park citizen or official/non-student",,,,,,,,,,,,,
Male,61-70,"College Park citizen or official/non-student",,"Several times a week","Campus News
College Park News
Sports
Crime
Opinions
Other",3,"Breaking News",Phone,"Mobile website",2,"I do not use social media","The Diamondback
Maryland Today",,,
Female,31-40,"College Park citizen or official/non-student",,"At least once a week","College Park News
Diversions/Entertainment
Opinions",3,"Breaking News
Opinions
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",2,"Daily emailed newsletter","The Diamondback
Maryland Today
Word of Mouth","Sometimes the links in the newsletter are broken or lead to a different story than what is presented. ","Range of topics. Student thoughts and opinions on College Park city related items. ","Keep doing good work!"
Female,41-50,"College Park citizen or official/non-student",,"At least once a month","College Park News
Diversions/Entertainment",4,Entertainment,"Computer / Laptop","Mobile website",2,"Facebook
Twitter","The Diamondback
University emails
University Social Media",,,
"Prefer not to answer",61-70,"College Park citizen or official/non-student",,"At least once a month","Campus News
College Park News",2,"I would like to see some investigative reporting. There are things going on in the city that need to be addressed.","Phone
Computer / Laptop","Mobile website",3,"None of the above","The Diamondback","Send your journalist into the community so they can learn what is really important to the residents. I doubt that less than a handful of journalist over the last few years have made it north of campus way.","At times, it’s an excellent resource for what’s happening on campus or in the community.",
,20-21,,,,,,,,,,,,,,
,71+,,,,,,,,,,,,,,
Female,20-21,,,,,,,,,,,,,,
,31-40,,,,,,,,,,,,,,
,22-24,,,,,,,,,,,,,,
,25-30,,Other,,,,,,,,,,,,
,71+,,,,,,,,,,,,,,
,41-50,,,,,,,,,,,,,,
,41-50,,,,,,,,,,,,,,
,41-50,,,,,,,,,,,,,,
,25-30,,,,Diversions/Entertainment,,,,,,,,,,
,61-70,,,,,,,,,,,,,,
,71+,,,,,,,,,,,,,,
,71+,,,,,,,,,,,,,,
,71+,,,,,,,,,,,,,,
,31-40,,,,,,,,,,,,,,
,71+,,,,,,,,,,,,,,
